ID,Place (x),Knowledge (y),Action (z),ETName
4396,-0.38,-0.06,-0.31,Earth Spirit
4398,-0.63,0.13,0.56,Ecoscience
4400,-0.19,-0.25,0.31,Earth Spirit
4401,0.13,-0.31,0.44,Traditional Ways
4402,-0.63,-0.50,0.69,Earth Spirit
4404,-0.56,0.00,0.81,Boundary
4405,0.13,-0.06,0.25,Traditional Ways
4406,-0.44,-0.13,0.25,Earth Spirit
4408,-0.19,0.06,-0.38,Ecoscience
4413,-0.50,-0.19,0.88,Earth Spirit
4416,-0.19,-0.25,0.38,Earth Spirit
4418,-0.19,0.13,0.19,Ecoscience
4420,-0.25,-0.75,0.50,Earth Spirit
4421,-0.25,0.19,0.06,Ecoscience
4426,-0.31,-0.13,-0.44,Earth Spirit
4429,0.31,0.56,1.00,Technoprogress
4430,-0.44,-0.25,0.25,Earth Spirit
4433,-0.06,-0.06,-0.06,Earth Spirit
4436,-0.31,0.19,0.00,Ecoscience
4437,-0.31,0.06,0.25,Ecoscience
4440,-0.38,-0.25,0.31,Earth Spirit
4446,0.13,0.00,0.31,Boundary
4448,0.25,0.31,-0.06,Technoprogress
4450,0.25,-0.38,0.31,Traditional Ways
4451,-0.56,0.13,-0.13,Ecoscience
4453,-0.31,-0.31,0.31,Earth Spirit
4455,-0.19,-0.13,-0.13,Earth Spirit
4456,-0.13,0.13,0.19,Ecoscience
4457,0.19,-0.25,0.63,Traditional Ways
4458,0.13,-0.38,-0.19,Traditional Ways
4464,-0.38,-0.25,0.19,Earth Spirit
4466,-0.13,0.19,0.50,Ecoscience
4472,0.13,0.13,0.00,Technoprogress
4473,0.00,-0.44,0.38,Boundary
4476,0.06,0.06,0.00,Technoprogress
4478,0.44,-0.19,0.81,Traditional Ways
4479,0.38,-0.13,0.75,Traditional Ways
4485,-0.31,0.19,0.38,Ecoscience
4487,-0.31,0.13,0.13,Ecoscience
4488,-0.19,0.06,-0.13,Ecoscience
4491,-0.06,0.13,-0.13,Ecoscience
4492,-0.06,-0.31,-0.25,Earth Spirit
4494,-0.56,0.13,0.00,Ecoscience
4495,-0.56,0.19,0.56,Ecoscience
4496,-0.13,-0.38,0.44,Earth Spirit
4497,-0.19,-0.19,0.31,Earth Spirit
4498,-0.25,-0.25,-0.25,Earth Spirit
4504,0.00,0.00,0.00,Boundary
4506,-0.56,0.13,0.56,Ecoscience
4507,-0.19,0.31,0.63,Ecoscience
4508,0.13,-0.25,-0.13,Traditional Ways
4509,0.25,0.06,-0.31,Technoprogress
4510,0.00,0.00,-0.13,Boundary
4512,-0.13,0.00,-0.13,Boundary
4513,-0.19,-0.06,-0.25,Earth Spirit
4514,-0.31,-0.38,0.31,Earth Spirit
4515,-0.19,-0.06,-0.06,Earth Spirit
4516,0.00,0.00,0.06,Boundary
4517,-0.63,-0.88,-0.13,Earth Spirit
4522,-0.44,0.00,0.00,Boundary
4523,0.00,0.06,-0.25,Boundary
4525,-0.25,0.06,-0.19,Ecoscience
4526,-0.63,-0.44,-0.38,Earth Spirit
4530,-0.06,0.19,-0.31,Ecoscience
4531,0.63,0.00,0.38,Boundary
4535,-0.06,-0.38,0.81,Earth Spirit
4540,-0.63,-0.38,0.31,Earth Spirit
4547,-0.44,-0.56,-0.19,Earth Spirit
4554,-0.19,-0.13,-0.31,Earth Spirit
4565,-0.44,-0.19,0.38,Earth Spirit
4570,-0.38,-0.44,0.31,Earth Spirit
4581,-0.69,-0.19,-0.25,Earth Spirit
4585,0.00,-0.25,0.00,Boundary
4592,0.13,-0.13,0.44,Traditional Ways
4594,0.00,-0.06,0.00,Boundary
4595,-0.25,0.06,-0.44,Ecoscience
4596,-0.06,-0.50,0.50,Earth Spirit
4598,-0.13,-0.19,-0.19,Earth Spirit
4599,-0.13,-0.19,-0.19,Earth Spirit
4600,-0.13,0.00,0.13,Boundary
4603,-0.50,0.13,0.06,Ecoscience
4606,-0.19,0.19,0.31,Ecoscience
4617,-0.50,0.06,0.13,Ecoscience
4618,-0.25,0.00,0.25,Boundary
4619,-0.50,-0.06,-0.13,Earth Spirit
4620,-0.19,0.25,-0.31,Ecoscience
4624,-0.25,0.00,-0.19,Boundary
4625,-0.56,0.13,-0.94,Ecoscience
4626,0.19,0.06,-0.31,Technoprogress
4627,-0.44,0.13,-0.19,Ecoscience
4628,0.13,0.06,0.44,Technoprogress
4629,0.00,-0.19,-0.13,Boundary
4630,-0.38,-0.38,0.00,Earth Spirit
4635,0.00,-0.06,-0.19,Boundary
4637,-0.56,-0.69,0.06,Earth Spirit
4656,0.31,0.25,0.38,Technoprogress
4666,-0.25,0.63,0.25,Ecoscience
4670,0.00,0.06,0.38,Boundary
4672,-0.13,-0.13,0.19,Earth Spirit
4677,-0.25,0.31,0.94,Ecoscience
4681,-0.06,0.13,-0.06,Ecoscience
4682,0.19,0.38,-0.25,Technoprogress
4683,-0.06,0.13,0.06,Ecoscience
4692,-0.06,-0.06,-0.25,Earth Spirit
4693,-0.06,-0.06,-0.25,Earth Spirit
4696,0.25,0.38,-0.13,Technoprogress
4700,-0.38,0.13,0.19,Ecoscience
4711,0.13,0.63,0.75,Technoprogress
4721,0.44,0.50,-0.19,Technoprogress
4722,0.06,0.00,-0.31,Boundary
4723,-0.31,-0.31,-0.06,Earth Spirit
4728,0.31,0.44,-0.19,Technoprogress
4730,-0.31,0.25,-0.06,Ecoscience
4736,-0.44,0.00,0.13,Boundary
4737,-0.06,-0.44,1.00,Earth Spirit
4738,0.31,0.00,-0.44,Boundary
4739,-0.44,0.06,-0.31,Ecoscience
4741,0.00,-0.13,0.31,Boundary
4742,-0.25,0.06,-0.13,Ecoscience
4743,-0.31,-0.19,-0.06,Earth Spirit
4744,0.13,0.13,0.00,Technoprogress
4745,0.19,-0.19,0.19,Traditional Ways
4746,-0.50,0.06,0.00,Ecoscience
4747,0.00,-0.13,0.13,Boundary
4748,-0.06,0.06,0.31,Ecoscience
4749,0.00,0.13,0.44,Boundary
4750,0.13,0.00,-0.06,Boundary
4751,0.00,-0.13,-0.13,Boundary
4752,-0.31,-0.19,0.19,Earth Spirit
4753,-0.31,0.00,0.06,Boundary
4754,0.00,0.75,0.00,Boundary
4755,-0.31,-0.31,-0.19,Earth Spirit
4756,-0.13,0.06,0.13,Ecoscience
4757,-0.25,-0.19,0.25,Earth Spirit
4758,-0.25,-0.38,0.13,Earth Spirit
4759,0.06,-0.13,0.25,Traditional Ways
4761,-0.13,-0.44,0.31,Earth Spirit
4762,-0.63,-0.50,-0.25,Earth Spirit
4763,-0.44,-0.44,-0.06,Earth Spirit
4764,-0.56,-0.13,0.50,Earth Spirit
4765,-0.25,-0.31,0.69,Earth Spirit
4770,-0.44,-0.06,-0.19,Earth Spirit
4771,-0.13,-0.44,0.81,Earth Spirit
4775,-0.63,-0.06,0.31,Earth Spirit
4776,-0.06,0.13,0.19,Ecoscience
4778,0.00,-0.13,-0.06,Boundary
4785,-0.25,-0.44,0.25,Earth Spirit
4789,-0.19,0.06,0.06,Ecoscience
4800,-0.31,-0.44,0.63,Earth Spirit
4801,-0.13,0.38,0.13,Ecoscience
4802,-0.38,-0.50,-0.19,Earth Spirit
4803,-0.25,0.25,-0.19,Ecoscience
4804,-0.50,-0.25,-0.50,Earth Spirit
4805,-0.06,0.06,0.06,Ecoscience
4806,-0.63,0.19,-0.31,Ecoscience
4807,-0.06,0.13,-0.06,Ecoscience
4808,-0.06,0.13,-0.31,Ecoscience
4810,-0.25,0.44,0.38,Ecoscience
4811,-0.81,-0.31,0.31,Earth Spirit
4812,-0.19,0.31,-0.25,Ecoscience
4816,-0.13,-0.13,-0.13,Earth Spirit
4817,0.00,0.13,-0.38,Boundary
4819,-0.31,0.06,-0.25,Ecoscience
4820,-0.56,0.13,0.31,Ecoscience
4821,-0.38,-0.19,-0.69,Earth Spirit
4824,0.13,0.31,0.06,Technoprogress
4826,-0.50,-0.19,-0.06,Earth Spirit
4827,-0.44,0.31,0.13,Ecoscience
4828,-0.19,0.56,0.25,Ecoscience
4839,-0.38,-0.13,0.63,Earth Spirit
4841,-0.44,-0.25,0.19,Earth Spirit
4848,-0.25,-0.31,0.06,Earth Spirit
4858,0.00,0.00,0.00,Boundary
4859,-0.44,-0.38,1.00,Earth Spirit
4860,-0.63,-0.25,-0.06,Earth Spirit
4862,0.25,-0.13,-0.13,Traditional Ways
4863,-0.44,-0.13,-0.06,Earth Spirit
4864,0.00,0.00,0.19,Boundary
4865,0.00,0.25,0.06,Boundary
4866,-0.06,-0.19,0.38,Earth Spirit
4867,-0.19,0.19,0.00,Ecoscience
4868,0.00,0.06,0.00,Boundary
4869,-0.38,-0.25,-0.50,Earth Spirit
4870,-0.06,-0.06,0.38,Earth Spirit
4873,-0.31,0.44,0.19,Ecoscience
4874,-0.19,0.13,-0.31,Ecoscience
4875,-0.38,-0.25,-0.13,Earth Spirit
4876,-0.31,0.13,-0.25,Ecoscience
4878,-0.13,0.25,-0.19,Ecoscience
4879,0.06,-0.06,0.00,Traditional Ways
4880,0.06,0.13,0.06,Technoprogress
4881,-0.19,0.38,0.31,Ecoscience
4884,0.13,0.25,0.06,Technoprogress
4886,-0.25,0.06,0.25,Ecoscience
4890,0.00,0.06,-0.38,Boundary
4900,-0.13,-0.13,0.00,Earth Spirit
4901,0.19,0.00,0.13,Boundary
4902,-0.50,-0.13,0.31,Earth Spirit
4903,0.31,0.00,0.13,Boundary
4906,0.19,0.00,0.13,Boundary
4908,0.13,-0.06,-0.50,Traditional Ways
4909,-0.25,-0.25,-0.06,Earth Spirit
4910,-0.13,0.06,0.19,Ecoscience
4911,0.13,-0.38,0.56,Traditional Ways
4912,-0.38,-0.31,0.63,Earth Spirit
4916,-0.06,0.25,0.13,Ecoscience
4917,-0.19,-0.13,-0.06,Earth Spirit
4918,0.13,0.19,0.00,Technoprogress
4920,-0.31,-0.38,0.38,Earth Spirit
4921,-0.25,-0.13,0.19,Earth Spirit
4922,-0.13,-0.50,0.31,Earth Spirit
4923,0.13,0.31,-0.13,Technoprogress
4926,-0.88,-0.44,0.25,Earth Spirit
4928,0.06,0.13,-0.13,Technoprogress
4930,-0.13,-0.25,-0.19,Earth Spirit
4931,-0.31,0.00,0.31,Boundary
4932,0.13,-0.06,0.44,Traditional Ways
4933,0.06,-0.25,0.25,Traditional Ways
4935,-0.50,-0.13,0.44,Earth Spirit
4936,-0.44,-0.13,0.31,Earth Spirit
4937,0.06,-0.06,0.13,Traditional Ways
4938,-0.13,0.31,-0.06,Ecoscience
4939,0.19,0.00,0.06,Boundary
4940,0.56,0.25,-0.25,Technoprogress
4941,-0.06,0.31,-0.31,Ecoscience
4942,-0.19,0.06,0.31,Ecoscience
4943,-0.31,0.31,0.13,Ecoscience
4944,0.06,-0.19,0.00,Traditional Ways
4945,0.25,-0.38,0.19,Traditional Ways
4946,-0.25,0.13,-0.13,Ecoscience
4947,-0.06,0.38,0.00,Ecoscience
4948,0.06,0.19,-0.13,Technoprogress
4949,-0.06,0.13,0.38,Ecoscience
4950,-0.19,0.00,-0.25,Boundary
4951,0.25,0.19,-0.44,Technoprogress
4952,0.00,0.19,0.19,Boundary
4953,-0.13,0.25,0.31,Ecoscience
4954,0.31,0.00,0.00,Boundary
4955,-0.19,0.06,0.31,Ecoscience
4956,-0.06,0.31,0.06,Ecoscience
4957,0.00,-0.50,0.31,Boundary
4958,-0.13,0.06,-0.13,Ecoscience
4959,0.13,-0.13,-0.19,Traditional Ways
4960,0.00,-0.19,-0.06,Boundary
4961,-0.25,-0.06,-0.13,Earth Spirit
4962,-0.06,0.44,-0.25,Ecoscience
4963,-0.06,-0.31,-0.31,Earth Spirit
4965,-0.44,-0.13,0.13,Earth Spirit
4966,-0.13,0.31,0.56,Ecoscience
4967,-0.44,-0.44,-0.25,Earth Spirit
4968,-0.19,0.13,0.00,Ecoscience
4976,0.13,-0.13,0.06,Traditional Ways
4977,0.00,0.06,0.00,Boundary
4979,0.06,0.00,0.13,Boundary
4980,-0.06,-0.06,-0.19,Earth Spirit
4981,-0.06,0.00,0.31,Boundary
4982,0.00,0.00,-0.13,Boundary
4983,-0.13,-0.06,0.31,Earth Spirit
4985,-0.06,0.00,-0.13,Boundary
4990,-0.06,0.00,-0.06,Boundary
4991,-0.13,-0.13,0.19,Earth Spirit
4992,-0.13,0.00,0.19,Boundary
4993,-0.63,-0.56,0.00,Earth Spirit
4994,-0.06,-0.56,0.75,Earth Spirit
4995,-0.44,0.13,0.69,Ecoscience
4996,-0.19,0.00,-0.38,Boundary
4997,0.00,0.25,0.13,Boundary
4998,-0.38,-0.13,0.50,Earth Spirit
5000,-0.13,-0.19,0.13,Earth Spirit
5001,-0.31,-0.25,0.31,Earth Spirit
5002,0.00,-0.50,0.13,Boundary
5003,0.06,0.13,0.00,Technoprogress
5004,-0.25,0.06,-0.19,Ecoscience
5005,0.25,0.44,-0.13,Technoprogress
5006,-0.31,0.06,0.00,Ecoscience
5007,-0.06,0.13,0.00,Ecoscience
5008,0.06,0.13,-0.31,Technoprogress
5009,0.00,0.00,0.00,Boundary
5010,-0.19,-0.06,0.13,Earth Spirit
5011,-0.13,-0.06,-0.06,Earth Spirit
5012,0.06,0.00,0.00,Boundary
5013,-0.19,-0.19,0.19,Earth Spirit
5014,-0.06,0.13,-0.06,Ecoscience
5015,-0.19,0.00,-0.06,Boundary
5016,-0.06,-0.19,-0.19,Earth Spirit
5017,-0.19,-0.13,-0.19,Earth Spirit
5018,-0.06,-0.06,0.13,Earth Spirit
5019,-0.38,0.06,-0.13,Ecoscience
5020,0.00,0.00,0.00,Boundary
5021,0.00,0.44,-0.06,Boundary
5022,-0.13,-0.06,-0.06,Earth Spirit
5023,0.06,0.00,0.00,Boundary
5024,0.13,0.00,-0.25,Boundary
5025,-0.13,0.13,-0.44,Ecoscience
5026,-0.19,0.06,0.94,Ecoscience
5027,-0.44,0.63,0.69,Ecoscience
5028,-0.38,0.00,-0.06,Boundary
5029,-0.13,-0.56,-0.19,Earth Spirit
5031,-0.31,-0.38,-0.56,Earth Spirit
5032,-0.56,-0.31,0.69,Earth Spirit
5033,-0.56,-0.31,0.69,Earth Spirit
5034,0.31,0.06,0.69,Technoprogress
5035,-0.50,-0.31,0.63,Earth Spirit
5036,0.00,-0.13,-0.69,Boundary
5037,-0.44,0.00,0.94,Boundary
5038,0.19,-0.19,-0.13,Traditional Ways
5039,-0.38,-0.19,0.69,Earth Spirit
5040,-0.38,-0.13,0.50,Earth Spirit
5041,0.00,-0.19,0.19,Boundary
5042,-0.13,0.06,0.13,Ecoscience
5043,-0.31,-0.25,0.13,Earth Spirit
5044,-0.13,0.06,0.69,Ecoscience
5045,-0.25,0.13,-0.31,Ecoscience
5046,0.25,-0.13,0.13,Traditional Ways
5047,0.00,-0.25,-0.06,Boundary
5049,-0.44,-0.31,0.31,Earth Spirit
5050,0.13,0.06,-0.19,Technoprogress
5051,-0.06,0.13,0.44,Ecoscience
5054,-0.19,-0.25,0.25,Earth Spirit
5055,-0.50,-0.13,-0.25,Earth Spirit
5056,0.19,0.00,0.69,Boundary
5057,0.00,-0.31,0.75,Boundary
5058,-0.69,-0.69,0.88,Earth Spirit
5059,-0.19,0.44,-0.31,Ecoscience
5060,-0.25,-0.25,1.00,Earth Spirit
5061,-0.56,-0.13,0.50,Earth Spirit
5062,-0.31,0.63,0.69,Ecoscience
5063,-0.19,0.13,0.38,Ecoscience
5064,-0.13,-0.56,-0.13,Earth Spirit
5065,0.19,0.00,-0.31,Boundary
5066,-0.38,-0.06,0.81,Earth Spirit
5067,-0.13,-0.25,-0.19,Earth Spirit
5068,-0.31,-0.06,-0.44,Earth Spirit
5070,-0.13,-0.31,0.00,Earth Spirit
5071,-0.06,0.31,-0.38,Ecoscience
5073,-0.63,0.25,-0.31,Ecoscience
5074,-0.25,0.19,0.38,Ecoscience
5075,-0.63,-0.25,-0.56,Earth Spirit
5076,-0.31,-0.31,0.19,Earth Spirit
5077,-0.63,-0.50,0.75,Earth Spirit
5078,-0.63,-0.13,0.75,Earth Spirit
5079,-0.13,-0.06,-0.13,Earth Spirit
5080,-0.56,-0.06,0.19,Earth Spirit
5081,-0.31,-0.38,-0.31,Earth Spirit
5082,-0.81,-1.00,-0.38,Earth Spirit
5083,0.13,0.00,-0.06,Boundary
5085,-0.44,-0.31,0.19,Earth Spirit
5086,0.00,0.00,-0.19,Boundary
5087,-0.31,-0.13,0.56,Earth Spirit
5088,0.19,-0.56,0.69,Traditional Ways
5089,-0.50,-0.38,0.94,Earth Spirit
5090,-0.69,0.38,0.63,Ecoscience
5092,-0.44,-0.06,0.44,Earth Spirit
5093,0.00,0.19,0.31,Boundary
5094,0.13,0.00,0.81,Boundary
5095,-0.38,-0.06,0.56,Earth Spirit
5096,-0.38,0.13,-0.38,Ecoscience
5097,-0.31,-0.06,0.63,Earth Spirit
5098,-0.63,-0.19,0.38,Earth Spirit
5099,-0.25,-0.13,0.13,Earth Spirit
5100,-0.19,0.13,-0.38,Ecoscience
5103,-0.13,0.06,0.38,Ecoscience
5104,-0.19,0.44,0.56,Ecoscience
5105,-0.06,-0.38,0.25,Earth Spirit
5106,-0.38,-0.44,0.06,Earth Spirit
5107,0.00,-0.44,-0.25,Boundary
5108,0.00,-0.44,-0.25,Boundary
5109,-0.13,-0.38,0.81,Earth Spirit
5110,-0.19,-0.13,0.13,Earth Spirit
5111,-0.81,-0.44,0.13,Earth Spirit
5113,-0.13,0.00,-0.25,Boundary
5114,-0.19,-0.13,0.19,Earth Spirit
5115,0.06,0.13,-0.13,Technoprogress
5116,-0.63,-0.31,0.44,Earth Spirit
5117,-0.38,0.00,0.06,Boundary
5118,-0.06,-0.31,0.75,Earth Spirit
5119,0.00,-0.13,-0.06,Boundary
5121,0.38,-0.31,-0.44,Traditional Ways
5122,-0.13,0.31,0.19,Ecoscience
5123,-0.50,-0.56,0.56,Earth Spirit
5124,-0.19,-0.25,-0.06,Earth Spirit
5125,-0.56,-0.25,0.56,Earth Spirit
5126,-0.63,0.13,0.19,Ecoscience
5127,-0.19,0.13,-0.19,Ecoscience
5128,-0.25,0.31,0.81,Ecoscience
5129,-0.44,-0.25,0.75,Earth Spirit
5130,0.13,0.19,0.63,Technoprogress
5131,0.00,-0.13,0.00,Boundary
5132,0.19,0.13,-0.13,Technoprogress
5133,0.00,0.13,0.19,Boundary
5134,-0.38,0.13,0.13,Ecoscience
5138,-0.06,-0.19,0.06,Earth Spirit
5139,-0.13,0.06,0.44,Ecoscience
5140,0.00,0.00,0.94,Boundary
5141,-0.31,-0.38,0.31,Earth Spirit
5144,-0.44,-0.31,0.81,Earth Spirit
5145,-0.31,-0.38,0.75,Earth Spirit
5146,-0.50,0.13,0.75,Ecoscience
5147,0.00,0.06,0.00,Boundary
5148,-0.06,-0.19,0.56,Earth Spirit
5149,-0.19,0.19,0.00,Ecoscience
5150,0.00,0.19,-0.06,Boundary
5151,-0.19,-0.19,-0.56,Earth Spirit
5152,0.13,0.19,-0.06,Technoprogress
5153,0.06,0.06,0.19,Technoprogress
5154,-0.13,0.00,0.13,Boundary
5155,0.00,0.06,0.31,Boundary
5156,-0.19,-0.31,0.38,Earth Spirit
5157,-0.25,0.00,0.00,Boundary
5158,-0.31,-0.38,0.88,Earth Spirit
5160,0.38,-0.31,-0.44,Traditional Ways
5161,-0.63,-0.50,0.19,Earth Spirit
5162,-0.06,0.13,-0.25,Ecoscience
5163,-0.13,-0.25,-0.06,Earth Spirit
5164,0.19,0.25,0.50,Technoprogress
5165,-0.69,-0.06,-0.13,Earth Spirit
5166,0.00,0.44,0.25,Boundary
5167,-0.13,-0.50,-0.31,Earth Spirit
5170,0.19,0.63,0.13,Technoprogress
5171,-0.50,0.13,0.56,Ecoscience
5177,-0.69,-0.25,1.00,Earth Spirit
5178,0.19,-0.44,0.69,Traditional Ways
5179,-0.56,0.31,0.13,Ecoscience
5181,-0.50,-0.38,0.75,Earth Spirit
5184,-0.31,-0.44,0.56,Earth Spirit
5185,0.19,-0.38,0.81,Traditional Ways
5186,-0.75,-0.56,0.25,Earth Spirit
5187,-0.31,-0.50,0.88,Earth Spirit
5188,0.06,0.50,0.50,Technoprogress
5189,-0.06,-0.06,0.56,Earth Spirit
5190,-0.44,0.06,-0.25,Ecoscience
5191,-0.13,-0.50,0.19,Earth Spirit
5193,-0.19,0.00,0.75,Boundary
5194,-0.88,-0.25,0.38,Earth Spirit
5195,-0.75,0.00,0.31,Boundary
5196,-0.38,0.00,0.38,Boundary
5197,-0.44,0.13,0.31,Ecoscience
5198,-0.63,-0.13,0.69,Earth Spirit
5199,-0.19,-0.06,0.19,Earth Spirit
5200,0.06,0.00,0.00,Boundary
5201,0.06,0.63,0.25,Technoprogress
5202,0.31,-0.44,0.25,Traditional Ways
5203,0.31,0.00,0.81,Boundary
5204,0.19,-0.38,0.81,Traditional Ways
5205,-0.69,-0.81,0.00,Earth Spirit
5206,-0.38,-0.25,0.25,Earth Spirit
5207,-0.38,0.31,0.44,Ecoscience
5210,-0.25,-0.19,-0.19,Earth Spirit
5212,-0.31,-0.25,-0.13,Earth Spirit
5213,-0.88,-1.00,-0.56,Earth Spirit
5214,-0.13,-0.38,-0.19,Earth Spirit
5219,-0.06,0.00,-0.44,Boundary
5221,-0.50,0.19,0.25,Ecoscience
5224,-0.56,-0.19,-0.31,Earth Spirit
5227,-0.06,-0.06,0.19,Earth Spirit
5228,0.06,-0.06,-0.19,Traditional Ways
5229,0.25,-0.25,-0.25,Traditional Ways
5233,0.00,-0.31,-0.31,Boundary
5234,-0.31,0.00,0.38,Boundary
5237,-0.19,0.19,0.00,Ecoscience
5238,0.00,0.13,-0.56,Boundary
5240,-0.69,-0.19,0.56,Earth Spirit
5241,-0.31,-0.06,-0.06,Earth Spirit
5242,-0.50,-0.38,-0.25,Earth Spirit
5243,-0.50,-0.13,-0.31,Earth Spirit
5246,-0.44,-0.13,-0.38,Earth Spirit
5247,-0.56,-0.06,0.00,Earth Spirit
5248,-0.38,-0.31,-0.75,Earth Spirit
5250,-0.44,-0.31,0.19,Earth Spirit
5251,-0.06,0.31,-0.25,Ecoscience
5254,-0.31,-0.25,-0.38,Earth Spirit
5256,-0.19,0.19,-0.38,Ecoscience
5257,-0.19,0.13,-0.06,Ecoscience
5262,-0.25,-0.38,0.56,Earth Spirit
5263,-0.88,-0.63,0.63,Earth Spirit
5264,-0.25,-0.06,-0.31,Earth Spirit
5265,0.13,0.06,-0.06,Technoprogress
5266,-0.13,0.13,0.19,Ecoscience
5269,-0.31,-0.25,-0.13,Earth Spirit
5271,-0.13,-0.13,-0.13,Earth Spirit
5275,-0.13,0.13,0.00,Ecoscience
5277,-0.13,0.25,-0.38,Ecoscience
5279,-0.25,-0.25,-0.44,Earth Spirit
5280,-0.19,0.50,-0.25,Ecoscience
5286,-0.19,0.00,0.38,Boundary
5290,-0.38,-0.06,0.25,Earth Spirit
5292,0.25,-0.13,0.13,Traditional Ways
5295,-0.69,-0.56,-0.50,Earth Spirit
5299,-0.19,0.06,-0.44,Ecoscience
5304,-0.19,-0.50,-0.06,Earth Spirit
5308,-0.44,-0.13,-0.06,Earth Spirit
5309,-0.50,-0.31,-0.31,Earth Spirit
5312,-0.56,-0.13,-0.31,Earth Spirit
5313,-0.56,-0.13,-0.19,Earth Spirit
5314,0.50,0.81,0.25,Technoprogress
5315,0.00,0.19,-0.13,Boundary
5316,0.00,-0.38,-0.31,Boundary
5318,0.50,0.38,0.63,Technoprogress
5319,-0.25,0.00,-0.13,Boundary
5320,0.19,-0.06,-0.13,Traditional Ways
5322,-0.25,0.13,-0.19,Ecoscience
5323,-0.44,0.44,-0.06,Ecoscience
5325,0.19,0.13,0.06,Technoprogress
5329,0.00,0.31,0.25,Boundary
5330,0.44,-0.06,-0.13,Traditional Ways
5331,-0.25,0.25,0.00,Ecoscience
5334,-0.50,0.50,0.88,Ecoscience
5339,-0.50,0.44,-0.19,Ecoscience
5340,0.13,-0.19,0.06,Traditional Ways
5343,0.31,0.88,-0.13,Technoprogress
5344,-0.56,0.44,-0.31,Ecoscience
5345,-0.50,0.88,0.88,Ecoscience
5349,-0.44,0.00,-0.38,Boundary
5351,0.00,-0.56,-0.25,Boundary
5355,0.06,0.13,0.06,Technoprogress
5356,-0.06,-0.06,0.19,Earth Spirit
5357,-0.44,0.00,-0.44,Boundary
5359,-1.00,-0.44,-0.50,Earth Spirit
5360,-0.31,0.06,-0.25,Ecoscience
5362,-0.69,-0.19,-0.38,Earth Spirit
5365,-0.50,0.00,0.50,Boundary
5367,0.06,-0.06,0.13,Traditional Ways
5372,-0.81,-0.31,-0.38,Earth Spirit
5373,-0.81,-0.38,-0.56,Earth Spirit
5374,-0.75,-0.25,-0.44,Earth Spirit
5377,-0.31,-0.31,-0.25,Earth Spirit
5380,0.50,1.00,0.44,Technoprogress
5381,-0.25,-0.31,0.06,Earth Spirit
5382,-0.31,0.38,0.19,Ecoscience
5385,0.19,0.50,0.25,Technoprogress
5386,0.00,0.00,-0.25,Boundary
5387,-0.31,-0.25,0.31,Earth Spirit
5389,0.06,0.25,-0.13,Technoprogress
5395,0.13,-0.31,0.13,Traditional Ways
5403,-0.06,-0.06,0.19,Earth Spirit
5406,-0.06,0.81,0.38,Ecoscience
5408,0.31,0.00,-0.31,Boundary
5409,-0.31,0.38,0.38,Ecoscience
5410,-0.13,-0.06,-0.06,Earth Spirit
5411,0.06,0.19,-0.06,Technoprogress
5412,-0.31,0.69,0.63,Ecoscience
5414,-0.19,-0.31,-0.25,Earth Spirit
5418,-0.63,0.19,0.00,Ecoscience
